index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
0,AGPS,1,2.34274844975,0.587576503709,0.373714998399,-0.456010654595,-0.580596638272,-0.793989318005,-0.649530339648,-0.199992513307,-0.623920488029
1,CHRNA5,1,2.31191586494,0.82479047462,-0.162243595587,-0.589167358124,-0.774515139762,-0.824254664117,-0.536759342525,-0.161983754599,-0.0877824848458
2,FLNA,1,2.60260014367,-0.322156407915,-0.444257368852,-0.462425469553,-0.520022324176,-0.0550730414077,-0.0248835177666,-0.649608599419,-0.124173414585
3,GABBR1,1,2.1684035028,0.481244384956,0.161652663291,-0.420263574249,-0.50305438052,-1.35146792198,-0.520558507687,-0.514455783773,0.498499617158
4,GABRA1,1,2.64129994606,-0.5086845513,-0.431787651911,-0.444830418439,-0.357574235483,-0.360887507995,-0.243357018513,-0.24675789628,-0.0474206661346
5,HTR3A,1,2.66511434577,-0.33093393695,-0.357061264736,-0.344203324772,-0.362526763259,-0.381488015581,-0.324277515149,-0.273227485219,-0.291396040099
6,LAMC2,1,2.16114960528,-0.894397889413,-0.870946802645,-0.559383916925,-0.676523500734,-0.400732923216,-0.0499950691327,0.690879432138,0.599951064649
7,ATG4C,2,2.22551124646,0.757238155553,0.359910653673,-0.340973069425,-0.305289502276,-0.352000427376,-0.686686107505,-0.541414029881,-1.11629691923
8,DRD2,3,-0.759617685859,-0.299217857051,2.47229794845,0.558615032681,-0.655097053999,-0.397700336575,-0.468344515515,-0.245542931491,-0.205392600643
9,DRD4,3,-0.998870518542,0.778947315853,1.70982446349,1.27365504574,-0.066814153209,-0.567753204238,-0.799241554944,-0.658057041606,-0.671690352538
10,GABRB2,3,-0.713619493495,1.93853090948,0.851356156094,-0.776346100456,-0.693899953131,-0.0863025804127,-0.92861847599,-0.492130301441,0.901029839356
11,GRIK3,3,-0.426461946631,2.55935464256,-0.246468695393,-0.214756126211,-0.532066866295,-0.535099180066,-0.538146954779,-0.420306031426,0.353951158241
12,SLC6A3,3,-0.442286182504,-0.689575076975,0.456649926862,2.34437305938,-0.562260430098,-0.604490015038,-0.647180228448,-0.434265655929,0.579034602749
13,GABRA2,5,-1.39218428287,-1.31586879641,-0.390792638994,-0.457622798021,0.192879094482,0.473576790565,0.246791561291,1.04549234246,1.5977287275
14,MAOA,5,-1.25400662823,-0.75655022547,-0.920960137398,-0.50654295708,-0.524434301648,0.380913850532,1.06435664491,1.37935190781,1.13787184658
15,ANKK1,6,-1.1302561767,-1.02841292974,-0.938094057426,0.340475954137,0.191158982465,-0.149650914936,-0.120969764572,0.881853596956,1.95389530982
16,DRD5,6,-0.791007824441,0.598114329926,-0.456602296499,0.332356715423,-0.499867941658,-0.71058788935,-0.726480050617,-0.0718403088774,2.32591526609
17,GABRG2,6,-0.210211499065,-0.567191294281,-0.0698894450226,-0.791054205694,-0.782096968826,-0.815045189806,-0.0475218477826,1.23154034539,2.05147010509
18,HTR2A,6,-0.753159588436,-0.739352392072,-0.725791090659,-0.391204388454,-0.246091828543,-0.213924933915,-0.255356644284,1.15878051573,2.16610035064
19,TPH1,6,-0.496649079176,-0.494050969396,-0.492852032874,-0.499252212736,-0.512669202935,-0.477961810662,-0.259292787286,0.831086385931,2.40164170913
