index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
0,ABCG2,1,2.64817375572,-0.0395924184622,-0.297591093756,-0.339746152177,-0.34088874153,-0.416586695184,-0.424473340758,-0.384659640892,-0.404635672966
1,ACTB,1,2.56456966035,0.150105171121,-0.0621022613326,-0.207407320192,-0.747372953481,-0.34895873069,-0.274348585244,-0.639006303233,-0.435478677297
2,ADM,1,2.65168609008,-0.553461353563,-0.393909896651,-0.279194509143,-0.196394494056,-0.238254378313,-0.270266663065,-0.333651118459,-0.386553676831
3,AGTR2,1,1.94683487825,-0.560028671863,-0.612652929481,1.51398877061,-0.552036112289,-0.612652929481,-0.612652929481,-0.401699015874,-0.109101060387
4,AHSG,1,2.14615702149,-0.100883124808,0.545677197408,-0.472450152258,0.552818021937,-0.675108852526,0.0371675541054,-1.14472469465,-0.8886529707
5,AIRE,1,2.5423896942,-0.497143025315,-0.0493089911984,-0.0924969713194,0.030718423673,0.0000307252610034,-0.600719743917,-0.783433998856,-0.55003611253
6,AKR1B1,1,2.40602471763,-0.57439411813,0.318553002944,-0.483143865505,0.512956031304,-0.727378860735,-0.308223098133,-0.526434070521,-0.617959738852
7,AMBP,1,2.56845796452,0.265553367615,-0.569207935041,-0.340429424946,-0.0912133970669,-0.313827841576,-0.569575530372,-0.40286550706,-0.546891696073
8,ANK1,1,2.25128714447,-0.801766072301,0.97366769219,-0.0587237413058,-0.128024449987,-0.363276594873,-0.6365829271,-0.716361394445,-0.520219656644
9,ANXA5,1,2.61750371118,-0.466858347008,-0.449378359004,-0.403545157872,-0.605633089108,-0.279176598795,-0.339371016148,-0.0775146103077,0.00397346706011
10,AP3B1,1,2.22430452117,0.811290212657,0.0609838099432,-0.675289405476,-0.405725488837,-1.0625421356,-0.790466137229,-0.0432975607517,-0.119257815867
11,ARRB1,1,2.65990854342,-0.436785073853,-0.272553889193,-0.209049843238,-0.381848276251,-0.375451135473,-0.353549697897,-0.367661741842,-0.263008885669
12,ATF4,1,2.62616798827,-0.306174382205,-0.276126765666,-0.0542778965267,-0.301796582764,-0.530287476632,-0.603416240725,-0.419175611419,-0.134913032328
13,ATP12A,1,2.03688671186,-0.702905165666,-1.06743299694,0.708530858777,-0.382766794777,0.829643062984,-0.530636513733,-0.127878520792,-0.763440641715
14,AZIN1,1,2.61386276828,-0.532046568794,-0.442903130919,-0.358474049388,-0.618873435974,-0.0165641624321,-0.112880050575,-0.160268751529,-0.371852618669
15,C15orf55,1,2.64576399519,-0.151133241324,-0.417405667487,-0.377767748848,-0.42185517914,-0.317562411815,-0.50881359199,-0.327235396522,-0.123990758068
16,CALCR,1,2.59359049389,0.119604868206,0.0208325232216,-0.378971025589,-0.414355136431,-0.457263165667,-0.50211387307,-0.5069841327,-0.474340551861
17,CASP3,1,2.62595926193,-0.637561802939,-0.292300377629,-0.0238287832144,-0.521711466581,-0.341646912198,-0.29205133941,-0.213292094691,-0.303566485264
18,CAV1,1,2.66449519635,-0.388376617612,-0.377639163945,-0.346888568436,-0.361460032286,-0.316316791548,-0.309250925233,-0.304354005637,-0.260209091657
19,CBL,1,1.9693000271,-0.598922015073,0.889261205017,-0.851461094885,-0.297623519298,-0.00403271497,0.711137995144,-0.885151460447,-0.932508422584
20,CBS,1,2.6600082407,-0.205052509652,-0.305799343921,-0.3807589696,-0.251341878866,-0.42523711141,-0.383459207357,-0.384939154066,-0.323420065829
21,CD2AP,1,2.59585367371,-0.222159327479,-0.343860762589,-0.599880176929,-0.530141569172,-0.582692773078,-0.323218417127,0.0702165944866,-0.0641172418246
22,CDC123,1,2.50260121049,0.350796316258,0.130140149031,-0.232516955059,-0.454404500853,-0.515690680283,-0.547302880948,-0.545905302031,-0.687717356604
23,CDH5,1,2.63427304199,-0.00329100586314,-0.157786486666,-0.300623445547,-0.426894532643,-0.446323127715,-0.437685925332,-0.454019544564,-0.40764897366
24,CELA1,1,2.54895463684,-0.195439314759,0.319128975907,-0.581004039175,-0.581004039175,-0.107949695212,-0.431567550757,-0.581004039175,-0.390114934499
25,CISD1,1,2.56686580655,-0.199479697707,-0.639939833384,-0.400166118914,-0.160921760707,-0.58488568809,-0.632210970448,0.153406021066,-0.102667758372
26,CLIC1,1,2.09707791715,-0.493913101887,1.02599263335,0.48138407952,-0.327266845435,-0.575176623237,-0.703104803896,-0.684924109171,-0.82006914639
27,COBL,1,2.51181327772,-0.875878448011,-0.636372200055,-0.235886738266,-0.478150954632,-0.338905625677,-0.263354524801,0.155425683859,0.161309529866
28,CPT1A,1,2.5135614962,-0.674116636588,-0.675231342993,-0.428014698139,-0.548854453263,-0.384784244153,0.0445976614954,-0.174050414769,0.326892632207
29,CR2,1,2.43503032525,-0.478847469149,-0.62187849156,-0.63252162808,-0.57428819064,-0.515961065891,-0.325534923441,0.577931914288,0.13606952922
30,CTH,1,2.37314513626,-0.780339192332,-0.760060715627,-0.24798285144,-0.850819869172,0.450015329104,0.083030917632,0.141388547047,-0.408377301476
31,CTSC,1,2.64529746204,-0.237432010621,-0.374038825716,-0.500521222185,-0.435508032025,-0.435573823491,-0.140875187344,-0.159527840803,-0.361820519854
