index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
0,ABCG2,1,2.64817375572,-0.0395924184622,-0.297591093756,-0.339746152177,-0.34088874153,-0.416586695184,-0.424473340758,-0.384659640892,-0.404635672966
1,HPRT1,1,2.37112923765,-0.295625181441,0.0965207427891,-0.117081327781,0.572282981319,-0.720416593232,-0.836067325442,-0.262821857386,-0.807920676473
2,IL6,1,2.61107753975,-0.477916646834,-0.410429000164,-0.509193188274,-0.508896655449,-0.458598810257,-0.236143365048,0.0178395964228,-0.0277394701436
3,MRAP,1,2.49015348347,-0.134106774589,-0.868226888221,-0.319476281032,-0.569402869127,0.325821535018,-0.594210695265,0.0434946657861,-0.374046176044
4,MYD88,1,2.47187679415,0.53032789353,-0.242555395954,-0.658740250479,-0.766884249919,-0.440196788937,-0.445079095709,-0.356922075634,-0.0918268310484
5,PRPS2,1,2.38021974052,-0.463458163464,-0.0830223657997,-0.845166567743,-0.741780631118,-0.822759426568,-0.00564858386672,0.324118712759,0.257497285278
6,PYCARD,1,2.65868369026,-0.381808892084,-0.3670520613,-0.339683928644,-0.356630532604,-0.399387952465,-0.384179161328,-0.281288811203,-0.148652350628
7,SYK,1,2.61593531947,-0.117146311839,-0.33770133122,-0.434938683574,-0.519928762746,-0.50694112224,-0.508934158603,-0.228402540724,0.0380575914816
8,TLR4,1,2.35271548053,-0.783137997522,0.581065379398,-0.960838322107,-0.139119962188,-0.323994798418,-0.642344522905,-0.200423927868,0.116078671076
9,YRDC,1,2.23123429902,0.0598095133452,0.415768791828,-0.0617305644475,-0.626431412807,0.511893780879,-0.698277174195,-0.814404081783,-1.01786315184
10,IL18,2,1.38857650134,1.65025677773,-0.898125242315,-0.331114651252,-0.055569760529,-0.832944363153,-0.66969379908,0.666541635461,-0.917927098199
11,PRTFDC1,2,1.47520494876,0.960544254223,0.92513912719,-0.350989369441,0.458151016011,-1.01029999461,-0.301245387309,-0.70714860368,-1.44935599114
12,SLC22A7,2,2.12793241491,0.896583313674,-0.252044530176,0.215953978448,-0.139605739748,-0.33612444887,-0.431586961221,-1.23243602202,-0.848672004996
13,CARD8,3,-2.17014683113,0.223730792127,0.526920855268,0.158180028123,0.130247834164,0.904791635081,1.24445393788,-0.376576344573,-0.64160190694
14,FGFR2,3,-1.66457703521,1.9380179647,-0.203954296151,-0.281704388099,-0.633893025156,-0.534679596869,0.321483113389,0.519780051833,0.539527211565
15,POMC,3,-0.256711234227,-0.643643060501,2.53311455531,0.273741562646,-0.0891949862367,-0.07317825142,-0.583124271266,-0.559183940455,-0.601820373853
16,PYGM,3,-0.763037748749,-0.563134658904,-0.227628815391,0.314171352636,2.54571847354,-0.244311068288,-0.502806758368,-0.260446111048,-0.298524665429
17,SLC22A6,3,-0.611118125229,-0.331947401816,2.19512455233,-0.63973067091,-0.645761382366,-0.790312344287,-0.542610724947,0.585642997559,0.780713099663
18,STC1,3,0.184257273165,-0.528202875009,-0.211837808149,-0.431498550613,2.60262241931,-0.368795725774,-0.511488252291,-0.452841580457,-0.282214900187
19,ATN1,4,-1.85730604341,-0.325018586303,-0.774195016629,-0.108200765792,-0.303492444129,0.624286799133,1.58854603322,0.294035134063,0.861344889845
20,BCKDHA,4,-1.58145059572,-0.282553516624,-0.554164385411,0.381816362623,1.10203730529,1.77095214529,0.204495854819,-0.646543181843,-0.394589988418
21,FGF5,4,-1.29538862704,-1.16946615115,-1.03962140085,-0.174950879586,0.923983053258,0.8107033112,1.10118383312,-0.1960857512,1.03964261226
22,IL1B,4,-0.669140188647,-0.793511248372,-0.793511248372,-0.450996440461,-0.588159902457,2.01790473178,-0.0284990136198,1.29254435744,0.013368952703
23,IL8,4,-0.7301349963,-0.760059506592,-0.761164518237,-0.585924739116,-0.739778217462,2.17709176499,0.562860872282,0.497118211994,0.339991128438
24,INHBC,4,-1.62870710543,-0.0619953751495,-1.27764637753,0.815810869725,1.400638607,0.666787207602,-0.260260811592,0.678537987599,-0.333165002233
25,NLRP3,4,-1.67428604391,-1.37619429729,0.113123032883,0.155549494317,-0.131237910906,1.15610090284,1.22798806847,0.627946413112,-0.0989896595199
26,CTSB,5,-1.65412846901,-1.08530533925,-0.809253382697,0.0200822422155,-0.0121718296391,0.419183022493,1.10077172793,0.985359031472,1.03546299648
27,ACE,6,-0.531470130631,-0.781247732951,-0.669592798389,-0.539922323811,-0.569556332257,-0.356483019088,0.229122041825,1.02567230121,2.19347799409
28,AIM2,6,-1.1058973677,-0.760631126739,-0.586068486921,-0.790553213013,0.0720438944281,-0.454332920514,0.580220690414,1.67267245893,1.37254607112
29,CASP1,6,-0.56598633119,-0.478612775899,-0.238879652725,-0.603075584649,-0.722301000745,-0.722301000745,-0.0373416915588,2.07896679561,1.2895312419
30,CCL2,6,-1.13906629471,-0.932238173574,-0.710446950374,-0.0721884372918,-0.645528884376,-0.148674293983,0.738259548494,1.68512018077,1.22476330504
31,IL1RN,6,0.112967377359,-0.389556969701,-0.688692974386,-0.410842533075,-0.688692974386,-0.688692974386,-0.149504321703,0.449585170451,2.45343019983
32,INHBB,6,0.409254538162,-0.889467163523,-0.946235113735,-0.945486670912,-0.734583799127,-0.0238769519023,0.69688366528,0.421383651635,2.01212784412
33,KCNMB2,6,-0.464821434575,-0.673268511435,-0.645135159354,-0.387543315994,-0.241995123051,-0.416098356187,-0.18022875115,0.511377114966,2.49771353678
34,MC4R,6,-0.839719529099,-0.860962474575,-0.958500020589,-0.378327146581,-0.131218593457,-0.566684210042,0.785715116291,1.17012915152,1.77956770653
35,SLC16A9,6,-0.627060372205,0.0733839465341,-0.777425789827,-0.542075338869,-0.392005001168,-0.607170133736,-0.35760285966,0.968191939438,2.26176360949
36,SLC22A8,6,-0.458488087516,-0.435734685412,-0.481993554387,-0.47744287646,-0.538794809637,-0.509925014364,-0.345278492064,0.850370880186,2.39728663965
37,TREM1,6,-0.715891310863,-0.745137197568,-0.719389975861,-0.276311486843,-0.441131196341,-0.213159670436,-0.232358438788,1.19457146787,2.14880780883
