index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
0,ADSL,1,2.56090710008,0.0546743227149,0.103652510816,-0.107762262866,-0.365288902079,-0.474553176653,-0.605438312414,-0.657981202411,-0.508210077193
1,ALG1,1,2.55900245692,0.197707757928,-0.299026655427,-0.238967662027,-0.671704212835,-0.515371167186,-0.667931581183,-0.317550639784,-0.0461582964019
2,ALG3,1,1.68250272312,-0.496423437114,-0.926099099613,-0.0785704507579,-0.495798900274,1.71421420324,-0.100762265451,-0.547959891595,-0.75110288156
3,AP4B1,1,2.2163978101,0.597453885053,-0.688971991228,-0.284096589603,0.321494288958,0.225047534549,-1.02342434574,-0.82980419535,-0.534096396739
4,ASNS,1,2.18814733112,-0.644775605129,-0.628410085877,-0.528097658593,1.21228340028,-0.373939362346,-0.486833209209,-0.410553817759,-0.327820992488
5,BCL11A,1,2.23899399888,-0.875274328982,-0.833358085223,-0.807408037885,-0.565479886127,-0.29260348528,0.424852161766,0.220460614146,0.489817048706
6,CDC6,1,2.44682817231,0.136736446218,0.48041888658,-0.422430121534,-0.139423672226,-0.623606676706,-0.643980317243,-0.618447821028,-0.616094896377
7,CDKL5,1,2.21424073503,0.709413422081,-0.163192354087,-0.921639546881,-0.38051633,-0.126029370065,-0.207376772884,-1.22631674517,0.101416961971
8,DHCR24,1,2.3465384091,-0.876661400717,-0.935031149687,-0.68652341498,-0.263892749087,-0.0465626103266,-0.134440749222,0.0618626487148,0.534711016206
9,DHCR7,1,1.36236064277,-0.716029786056,-0.873669541131,-0.496164517547,0.165638454919,1.96914530058,-0.382069544452,-0.658155198009,-0.371055811075
10,DIAPH1,1,2.51810953596,0.337442665668,0.126951816444,-0.375007594635,-0.39081257877,-0.556874404306,-0.556429909808,-0.612222152826,-0.491157377732
11,DKC1,1,2.5492630619,0.097420477245,0.181024755718,-0.180458488829,-0.486001191355,-0.415165610459,-0.613962002675,-0.572139133002,-0.559981868547
12,DOC2A,1,2.28692686657,-0.0692942978645,-0.489548778987,0.771274283881,-0.268098869145,-0.0129536125746,-0.478801746793,-1.11100806575,-0.628495779333
13,EFTUD2,1,2.59423657982,0.0822813231855,-0.0983122240769,-0.158002483794,-0.354491869991,-0.453674967844,-0.397528252466,-0.634705202701,-0.579802902129
14,FGF19,1,2.65365060821,-0.197614250327,-0.44844030716,-0.425048790222,-0.341894553398,-0.205371089326,-0.243319578302,-0.448165075384,-0.343796964088
15,FLNA,1,2.60260014367,-0.322156407915,-0.444257368852,-0.462425469553,-0.520022324176,-0.0550730414077,-0.0248835177666,-0.649608599419,-0.124173414585
16,FOXL2,1,2.66260716993,-0.343501500846,-0.315891416305,-0.342120623305,-0.277831715333,-0.271904588999,-0.347321150993,-0.459689454248,-0.304346719904
17,GABRB3,1,2.65893317452,-0.364274625023,-0.311185871838,-0.355616939201,-0.401736234589,-0.411977527516,-0.365821083409,-0.289886981317,-0.158433911628
18,HMOX2,1,2.5909450322,-0.662399259486,-0.656285525461,-0.346901781891,-0.454461050819,-0.0454477162482,-0.260733768235,-0.141651369352,-0.0230645607115
19,HRAS,1,2.6097681072,-0.294985293,-0.372717438774,-0.228364671735,-0.510367888298,-0.656434718815,-0.220468999441,-0.405865442022,0.0794363448866
20,KATNA1,1,2.39124333078,-0.893718222998,-0.364067822789,0.60979575604,-0.0129990373607,-0.480637692159,-0.40473400269,-0.75928131703,-0.0856009917901
21,KATNB1,1,2.45160684617,-0.665743240592,-0.365974728362,0.398011469423,-0.297835178063,-0.979082797672,-0.256204392477,0.0818433909417,-0.366621369368
22,LETM1,1,2.60508904956,-0.255968610098,-0.144450434776,-0.433862942297,-0.697648088523,-0.335529817016,0.0225375780478,-0.53845057575,-0.221716159147
23,METTL1,1,2.62726003286,-0.21359603911,-0.356988458683,-0.131371772514,-0.430779611401,-0.0286821419648,-0.508997798876,-0.522774275414,-0.434069934901
24,MYCN,1,2.5439856172,0.266333471935,-0.306386042881,-0.458675797211,-0.798213028262,-0.591205268225,-0.251800517987,-0.0989342276554,-0.305104206911
25,NBN,1,2.17859747999,1.09768671221,-0.547296665796,-0.388020365352,-0.00820367975635,-0.958200642994,-0.381192303266,-0.352138383949,-0.641232151086
26,NSUN2,1,2.62044356903,0.0758567522122,-0.150515369463,-0.286758901666,-0.468056947341,-0.446008188905,-0.481126131859,-0.427045021701,-0.436789760307
27,PDHB,1,2.47892643736,0.386777357501,0.0443276253142,-0.283803808648,-0.412643719407,-0.318338286804,-0.736733261388,-0.317195085795,-0.84131725813
28,PGAP2,1,2.42188160105,0.601566651322,-0.355719267872,-0.312616942908,-0.0823190492622,-0.971833087409,-0.536944301732,-0.474030744941,-0.28998485825
29,PRPF31,1,2.55132843566,-0.451115869687,-0.905920399554,0.0580033055038,-0.0544393046956,-0.135745689345,-0.166903124901,-0.528894039193,-0.366313313789
30,PSAT1,1,2.48089944659,0.103823013566,0.340460387103,-0.436109431831,-0.0406325317558,-0.507611298763,-0.571770673848,-0.635280504763,-0.733778406301
31,PSPH,1,2.51690027597,-0.451113874719,-0.414614963558,-0.35756774822,-0.12709450135,-0.965598002173,-0.373514523782,0.258068139203,-0.0854648013692
32,PYCR1,1,2.08277533001,-0.83243345365,-1.36036929149,-0.493774450191,-0.249406038871,0.875366592264,0.00209264131093,-0.163643266564,0.139391937183
33,PYCR2,1,2.64978170861,-0.51842741523,-0.359716895908,-0.279562636181,-0.17796078522,-0.180346850257,-0.335936272609,-0.458174000687,-0.339656852519
34,QDPR,1,1.96684545612,0.126850754135,-1.01600594671,0.609087237517,0.861883746585,-0.205624105372,-0.785654976284,-0.999002542862,-0.558379623126
35,RNASEH2B,1,2.49981852301,0.0633524646236,0.339453464911,-0.261461044846,-0.528732601328,-0.751624654198,-0.708790235582,-0.282078901108,-0.36993701548
